frequency,signal
95786152,-99.841141
95810560,-106.736084
95834968,-108.862968
95859376,-108.577583
95883784,-107.940689
95908192,-110.886261
95932600,-110.717438
95957008,-98.073792
95981416,-76.809799
96005824,-70.960907
96030232,-74.185867
96054640,-86.724152
96079048,-104.729950
96103456,-108.638992
96127864,-110.207077
96152272,-113.175232
96176680,-110.340416
96201088,-106.722382
96225496,-100.985939
96249904,-96.540085
96274312,-95.855774
96298720,-101.060913
96323128,-106.293167
96347536,-104.047821
96371944,-102.223862
96396352,-95.873024
96420760,-85.982277
96445168,-85.639503
96469576,-78.426712
96493984,-76.857269
96518392,-79.994423
96542800,-85.619019
96567208,-93.619415
96591616,-105.174179
96616024,-113.579453
96640432,-115.482178
96664840,-119.522263
96689248,-132.367859
96713656,-120.385002
96738064,-123.582909
96762472,-113.818344
96786880,-110.548683
96811288,-113.961128
96835696,-117.223297
96860104,-120.508896
96884512,-132.782639
96908920,-130.522537
96933328,-117.239700
96957736,-122.838654
96982144,-94.663422
97006552,-79.519974
97030960,-75.574722
97055368,-80.702545
97079776,-97.596504
97104184,-116.350441
97128592,-111.621140
97153000,-117.849213
97177408,-122.329544
97201816,-114.390289
97226224,-108.786797
97250632,-105.211281
97275040,-101.534813
97299448,-104.846298
97323856,-118.780533
97348264,-118.403381
97372672,-120.372665
97397080,-118.244797
97421488,-119.446198
97445896,-120.038773
97470304,-105.053680
97494712,-83.166779
97519120,-76.608360
97543528,-79.211441
97567936,-90.856750
97592344,-106.437531
97616752,-104.839218
97641160,-101.822327
97665568,-96.262772
97689976,-89.083527
97714384,-90.671761
97738792,-95.033737
97763200,-99.328857
97787608,-107.313004
97812016,-113.559906
97836424,-108.320724
97860832,-109.410667
97885240,-114.359428
97909648,-121.614113
97934056,-113.993217
97958464,-105.106133
97982872,-100.835335
98007280,-102.515274
98031688,-108.801521
98056096,-116.154579
98080504,-122.176079
98104912,-127.747368
98129320,-121.706825
98153728,-119.360771
98178136,-135.445938
98202544,-99.152969
98226952,-89.930908
98251360,-90.254807
98275768,-100.232742
98300176,-114.101898
98324584,-120.529686
98348992,-112.576996
98373400,-115.784607
98397808,-117.062088
98422216,-119.685577
98446624,-114.097595
98471032,-108.523590
98495440,-88.453156
98519848,-79.249741
98544256,-77.806198
98568664,-84.980362
98593072,-103.857925
98617480,-105.342323
98641888,-108.988434
98666296,-106.120018
98690704,-106.759117
98715112,-111.749039
98739520,-114.558716
98763928,-106.543190
98788336,-108.429901
98812744,-113.693398
98837152,-118.370491
98861560,-120.386391
98885968,-114.194534
98910376,-116.563606
98934784,-96.497566
98959192,-80.892899
98983600,-75.731201
99008008,-79.426308
99032416,-94.875282
99056824,-117.065857
99081232,-115.893364
99105640,-115.862221
99130048,-114.661469
99154456,-109.792648
99178864,-110.854942
99203272,-90.016022
99227680,-82.127815
99252088,-82.431061
99276496,-91.569962
99300904,-105.074265
99325312,-116.605927
99349720,-109.642059
99374128,-109.456070
99398536,-111.078827
99422944,-111.402985
99447352,-113.754272
99471760,-102.670044
99496168,-90.477493
99520576,-89.047852
99544984,-96.649200
99569392,-107.272537
99593800,-111.260010
99618208,-122.927177
99642616,-115.339951
99667024,-112.063232
99691432,-114.343529
99715840,-99.084717
99740248,-98.563599
99764656,-75.885056
99789064,-71.052994
99813472,-75.169510
99837880,-86.647713
99862288,-100.481827
99886696,-114.059029
99911104,-112.841797
99935512,-106.325378
99959920,-97.806702
99984328,-84.854492
100008736,-81.622116
100033144,-87.533089
100057552,-105.003632
100081960,-120.787628
100106368,-115.211411
100130776,-113.816849
100155184,-119.681122
100179592,-122.131210
100204000,-104.315063
100228408,-89.752266
100252816,-86.522095
100277224,-92.191292
100301632,-107.554230
100326040,-113.407639
100350448,-116.069611
100374856,-115.060524
100399264,-114.703857
100423672,-110.528732
100448080,-95.307152
100472488,-90.606346
100496896,-77.180328
100521304,-73.004585
100545712,-77.115105
100570120,-86.367531
100594528,-96.301971
100618936,-103.109932
100643344,-104.889656
100667752,-107.705887
100692160,-105.803589
100716568,-100.795166
100740976,-100.804214
100765384,-93.326401
100789792,-90.754654
100814200,-96.062775
100838608,-107.321564
100863016,-132.645828
100887424,-113.343498
100911832,-101.069153
100936240,-94.433151
100960648,-95.569977
100985056,-95.637016
101009464,-86.964676
101033872,-83.154465
101058280,-87.408707
101082688,-97.163681
101107096,-111.880447
101131504,-107.660416
101155912,-107.386551
101180320,-108.826454
101204728,-106.509903
101229136,-102.366211
101253544,-94.292175
101277952,-96.746933
101302360,-108.557297
101326768,-121.835434
101351176,-117.507286
101375584,-114.586327
101399992,-109.894203
101424400,-106.551643
101448808,-95.326675
101473216,-84.300728
101497624,-84.075943
101522032,-92.613617
101546440,-112.720779
101570848,-109.066154
101595256,-110.226387
101619664,-110.704422
101644072,-110.504982
101668480,-113.415459
101692888,-100.126198
101717296,-96.972481
101741704,-89.671150
101766112,-79.564209
101790520,-75.427803
101814928,-79.834312
101839336,-92.553932
101863744,-97.520874
101888152,-105.229996
101912560,-107.882095
101936968,-109.113037
101961376,-98.994675
101985784,-86.644958
102010192,-85.359177
102034600,-94.170898
102059008,-120.083679
102083416,-112.743286
102107824,-120.347290
102132232,-114.433075
102156640,-108.933823
102181048,-109.200928
102205456,-94.666122
102229864,-81.864487
102254272,-78.619080
102278680,-84.517395
102303088,-103.596786
102327496,-110.695587
102351904,-113.593239
102376312,-106.081291
102400720,-93.935646
102425128,-85.462265
102449536,-77.924263
102473944,-71.567719
102498352,-68.635368
102522760,-74.290749
102547168,-81.235840
102571576,-85.373306
102595984,-100.207680
102620392,-107.017036
102644800,-110.685196
102669208,-114.631950
102693616,-113.102478
102718024,-105.490547
102742432,-95.370499
102766840,-89.732971
102791248,-91.443733
102815656,-100.172974
102840064,-110.190552
102864472,-116.669785
102888880,-122.284256
102913288,-110.760559
102937696,-107.416573
102962104,-105.310730
102986512,-89.321861
103010920,-83.875656
103035328,-86.023438
103059736,-96.817245
103084144,-128.434937
103108552,-115.767990
103132960,-115.791183
103157368,-110.053513
103181776,-116.597969
103206184,-113.366074
103230592,-112.327400
103255000,-112.237320
103279408,-119.961662
103303816,-111.113815
103328224,-111.896637
103352632,-115.791801
103377040,-127.584435
103401448,-116.368439
103425856,-114.963066
103450264,-113.979897
103474672,-102.896606
103499080,-89.958557
103523488,-81.224861
103547896,-81.952820
103572304,-91.831940
103596712,-106.034874
103621120,-111.117119
103645528,-112.141487
103669936,-115.659805
103694344,-112.005333
103718752,-103.686951
103743160,-101.018700
103767568,-105.025345
103791976,-112.223419
103816384,-116.960770
103840792,-115.565269
103865200,-120.985992
103889608,-113.178139
103914016,-113.234238
103938424,-116.524811
103962832,-113.292511
103987240,-110.319710
104011648,-112.641350
104036056,-120.158112
104060464,-123.075974
104084872,-115.317680
104109280,-109.865540
104133688,-107.015121
104158096,-110.073952
104182504,-114.400894
104206912,-114.699127
104231320,-104.466118
104255728,-98.246101
104280136,-100.591171
104304544,-107.769760
104328952,-113.577942
104353360,-123.540276
104377768,-121.844040
104402176,-115.026779
104426584,-110.962616
104450992,-102.370331
104475400,-96.936340
104499808,-87.574524
104524216,-78.430573
104548624,-79.255714
104573032,-88.271309
104597440,-102.631081
104621848,-112.137283
104646256,-129.951508
104670664,-114.861557
104695072,-113.047417
104719480,-112.698120
104743888,-110.564034
104768296,-122.650513
104792704,-109.943375
104817112,-112.580032
104841520,-113.208374
104865928,-114.353920
104890336,-116.669228
104914744,-116.401100
104939152,-110.401108
104963560,-109.253922
104987968,-85.863892
105012376,-76.754532
105036784,-89.187439
105061192,-100.567696
105085600,-114.694801
105110008,-116.189423
105134416,-114.741837
105158824,-120.938560
105183232,-120.180954
105207640,-113.984238
105232048,-111.816177
105256456,-111.632309
105280864,-111.691986
105305272,-110.262711
105329680,-119.845024
105354088,-113.133499
105378496,-108.303154
105402904,-106.513092
105427312,-111.965134
105451720,-93.188919
105476128,-81.514198
105500536,-78.301414
105524944,-83.513794
105549352,-99.252022
105573760,-110.413765
105598168,-116.608101
105622576,-122.551682
105646984,-120.639572
105671392,-123.101250
105695800,-112.951668
105720208,-110.082268
105744616,-109.559578
105769024,-106.810028
105793432,-109.250893
105817840,-117.212929
105842248,-115.252563
105866656,-117.031090
105891064,-115.333847
105915472,-111.689148
105939880,-119.086220
105964288,-104.510010
105988696,-89.557541
106013104,-85.803749
106037512,-90.957611
106061920,-106.554199
106086328,-115.484642
106110736,-112.966164
106135144,-118.329826
106159552,-134.821060
106183960,-111.639214
106208368,-96.805046
106232776,-91.889084
106257184,-95.457191
106281592,-110.766899
106306000,-117.136787
106330408,-120.896492
106354816,-121.550323
106379224,-143.167267
106403632,-122.647964
106428040,-124.248398
106452448,-119.414078
106476856,-110.154968
106501264,-94.386246
106525672,-87.192108
106550080,-88.787018
106574488,-99.318268
106598896,-110.325081
106623304,-119.929726
106647712,-119.980278
106672120,-123.496559
106696528,-124.868248
106720936,-117.494339
106745344,-117.394249
106769752,-111.589478
106794160,-114.645851
106818568,-126.189568
106842976,-123.933289
106867384,-117.540604
106891792,-130.867157
106916200,-112.468658
106940608,-108.955902
106965016,-111.756226
106989424,-109.448959
107013832,-92.872658
107038240,-85.643646
107062648,-88.038933
107087056,-99.786835
107111464,-108.247246
107135872,-124.961502
107160280,-110.683640
107184688,-111.813210
107209096,-131.368866
107233504,-123.193886
107257912,-105.572662
107282320,-100.927109
107306728,-104.026703
107331136,-111.852066
107355544,-124.899780
107379952,-117.378098
107404360,-114.998230
107428768,-128.097717
107453176,-114.217972
107477584,-107.219818
107501992,-95.834442
107526400,-92.962555
107550808,-91.062424
107575216,-86.675896
107599624,-88.776581
107624032,-101.526764
107648440,-117.976379
107672848,-115.337975
107697256,-109.925392
107721664,-104.355652
107746072,-95.524063
107770480,-91.832092
107794888,-96.435997
107819296,-107.217667
107843704,-112.037079
107868112,-120.638443
107892520,-116.292206
107916928,-109.046631
107941336,-109.471169
107965744,-115.240646
