Time,Frequency (Hz),Level (dBµV/m),File Info
27:24.1,108975000,18.5,
27:24.1,109000000,14.5,
27:24.1,109025000,15.5,
27:24.1,109050000,15.3,
27:24.1,109075000,15.6,
27:24.1,109100000,14.8,
27:24.1,109125000,14,
27:24.1,109150000,13.2,
27:24.1,109175000,14.7,
27:24.1,109200000,14.3,
27:24.1,109225000,13.5,
27:24.1,109250000,15.9,
27:24.1,109275000,13.5,
27:24.1,109300000,13.1,
27:24.1,109325000,14.6,
27:24.1,109350000,13.4,
27:24.1,109375000,13.8,
27:24.1,109400000,14.1,
27:24.1,109425000,13.4,
27:24.1,109450000,15.4,
27:24.1,109475000,14.2,
27:24.1,109500000,14.4,
27:24.1,109525000,13.9,
27:24.1,109550000,13.8,
27:24.1,109575000,15.9,
27:24.1,109600000,14,
27:24.1,109625000,13.7,
27:24.1,109650000,13,
27:24.1,109675000,13.8,
27:24.1,109700000,14.2,
27:24.1,109725000,14.8,
27:24.1,109750000,13.8,
27:24.1,109775000,14.6,
27:24.1,109800000,13.9,
27:24.1,109825000,14.8,
27:24.1,109850000,14.7,
27:24.1,109875000,13.6,
27:24.1,109900000,14.9,
27:24.1,109925000,13.5,
27:24.1,109950000,14.6,
27:24.1,109975000,14.1,
27:24.1,110000000,13.8,
27:24.1,110025000,14.1,
27:24.1,110050000,15.3,
27:24.1,110075000,14.9,
27:24.1,110100000,13.8,
27:24.1,110125000,15.3,
27:24.1,110150000,15.4,
27:24.1,110175000,14.7,
27:24.1,110200000,15.4,
27:24.1,110225000,15.3,
27:24.1,110250000,15.2,
27:24.1,110275000,14,
27:24.1,110300000,17.3,
27:24.1,110325000,18,
27:24.1,110350000,15,
27:24.1,110375000,18.2,
27:24.1,110400000,15.4,
27:24.1,110425000,14.2,
27:24.1,110450000,15.7,
27:24.1,110475000,15.3,
27:24.1,110500000,13.7,
27:24.1,110525000,15.3,
27:24.1,110550000,15.2,
27:24.1,110575000,15.2,
27:24.1,110600000,14.9,
27:24.1,110625000,13,
27:24.1,110650000,14.1,
27:24.1,110675000,16.1,
27:24.1,110700000,15.9,
27:24.1,110725000,17.9,
27:24.1,110750000,17.9,
27:24.1,110775000,16.8,
27:24.1,110800000,17.6,
27:24.1,110825000,16,
27:24.1,110850000,16.6,
27:24.1,110875000,14.5,
27:24.1,110900000,14.4,
27:24.1,110925000,14.3,
27:24.1,110950000,14.8,
27:24.1,110975000,13.9,
27:24.1,111000000,16.4,
27:24.1,111025000,13.9,
27:24.1,111050000,14,
27:24.1,111075000,14.9,
27:24.1,111100000,13.5,
27:24.1,111125000,16.6,
27:24.1,111150000,15.4,
27:24.1,111175000,13.4,
27:24.1,111200000,14.2,
27:24.1,111225000,14.8,
27:24.1,111250000,15.1,
27:24.1,111275000,15.2,
27:24.1,111300000,13.9,
27:24.1,111325000,13.6,
27:24.1,111350000,13.7,
27:24.1,111375000,14.8,
27:24.1,111400000,14.5,
27:24.1,111425000,14.2,
27:24.1,111450000,14.4,
27:24.1,111475000,13.2,
27:24.1,111500000,14.4,
27:24.1,111525000,15.5,
27:24.1,111550000,14.6,
27:24.1,111575000,13.9,
27:24.1,111600000,13.8,
27:24.1,111625000,14.3,
27:24.1,111650000,16.9,
27:24.1,111675000,14.4,
27:24.1,111700000,13.2,
27:24.1,111725000,13.8,
27:24.1,111750000,13.8,
27:24.1,111775000,13.3,
27:24.1,111800000,15.1,
27:24.1,111825000,13.4,
27:24.1,111850000,14,
27:24.1,111875000,14.2,
27:24.1,111900000,14.4,
27:24.1,111925000,14.3,
27:24.1,111950000,12.6,
27:24.1,111975000,13,
27:24.1,112000000,14.1,
27:24.1,112025000,13.4,
27:24.1,112050000,14.8,
27:24.1,112075000,14.1,
27:24.1,112100000,13.6,
27:24.1,112125000,14.2,
27:24.1,112150000,14.5,
27:24.1,112175000,15.6,
27:24.1,112200000,13.8,
27:24.1,112225000,12.6,
27:24.1,112250000,15.1,
27:24.1,112275000,13.8,
27:24.1,112300000,15.2,
27:24.1,112325000,13.3,
27:24.1,112350000,12.5,
27:24.1,112375000,14.4,
27:24.1,112400000,13.4,
27:24.1,112425000,16.8,
27:24.1,112450000,15.5,
27:24.1,112475000,15.8,
27:24.1,112500000,16.2,
27:24.1,112525000,14.4,
27:24.1,112550000,15.8,
27:24.1,112575000,14.6,
27:24.1,112600000,16,
27:24.1,112625000,14.7,
27:24.1,112650000,13.8,
27:24.1,112675000,16.8,
27:24.1,112700000,16.6,
27:24.1,112725000,20.1,
27:24.1,112750000,17.4,
27:24.1,112775000,19.1,
27:24.1,112800000,17.3,
27:24.1,112825000,18.3,
27:24.1,112850000,15.4,
27:24.1,112875000,14.6,
27:24.1,112900000,13.9,
27:24.1,112925000,13.7,
27:24.1,112950000,16.3,
27:24.1,112975000,12.5,
27:24.1,113000000,13.3,
27:24.1,113025000,13.9,
27:24.1,113050000,12.6,
27:24.1,113075000,15.8,
27:24.1,113100000,13.6,
27:24.1,113125000,13.2,
27:24.1,113150000,13.9,
27:24.1,113175000,13.9,
27:24.1,113200000,16.8,
27:24.1,113225000,14.6,
27:24.1,113250000,13.6,
27:24.1,113275000,13.5,
27:24.1,113300000,13.5,
27:24.1,113325000,14.5,
27:24.1,113350000,13.9,
27:24.1,113375000,15.1,
27:24.1,113400000,14.4,
27:24.1,113425000,14.3,
27:24.1,113450000,15.5,
27:24.1,113475000,13.8,
27:24.1,113500000,14.1,
27:24.1,113525000,14.8,
27:24.1,113550000,14.2,
27:24.1,113575000,13.6,
27:24.1,113600000,13.4,
27:24.1,113625000,14.2,
27:24.1,113650000,13.6,
