Task ID,Storage Interval,Operator ID,Message Length (secs),Start Time,Stop Time,Threshold Method,Duration,Station Name,All Single Channels,Location (lat),Location (lon),Antenna,Polarization
836,15 secs,HP-PC,15,8/12/2016 10:31,8/12/2016 10:36,Noise Riding 10 dB,Fixed: 5 mins,AR1 PATHUM THANI,No,14.070668,100.63418,Vertical Ref,Vertical
,,,,,,,,,,,,,
Band #,Start Frequency (MHz),Stop Frequency (MHz),Bandwidth (kHz),,,,,,,,,,
1,136,174,12.5,,,,,,,,,,
,,,,,,,,,,,,,
Channel No.,Frequency (MHz),Maximum Occupancy (%),Average Occupancy (%),,,,,,,,,,
141,137.75,0,0,,,,,,,,,,
142,137.7625,0,0,,,,,,,,,,
143,137.775,0,0,,,,,,,,,,
144,137.7875,0,0,,,,,,,,,,
145,137.8,0,0,,,,,,,,,,
146,137.8125,0,0,,,,,,,,,,
147,137.825,0,0,,,,,,,,,,
148,137.8375,0,0,,,,,,,,,,
149,137.85,0,0,,,,,,,,,,
150,137.8625,0,0,,,,,,,,,,
151,137.875,0,0,,,,,,,,,,
152,137.8875,0,0,,,,,,,,,,
153,137.9,0,0,,,,,,,,,,
154,137.9125,0,0,,,,,,,,,,
155,137.925,0,0,,,,,,,,,,
156,137.9375,0,0,,,,,,,,,,
157,137.95,0,0,,,,,,,,,,
158,137.9625,0,0,,,,,,,,,,
159,137.975,0,0,,,,,,,,,,
160,137.9875,0,0,,,,,,,,,,
161,138,0,0,,,,,,,,,,
162,138.0125,0,0,,,,,,,,,,
163,138.025,0,0,,,,,,,,,,
164,138.0375,0,0,,,,,,,,,,
165,138.05,0,0,,,,,,,,,,
166,138.0625,0,0,,,,,,,,,,
167,138.075,0,0,,,,,,,,,,
168,138.0875,0,0,,,,,,,,,,
169,138.1,0,0,,,,,,,,,,
170,138.1125,0,0,,,,,,,,,,
171,138.125,0,0,,,,,,,,,,
172,138.1375,0,0,,,,,,,,,,
173,138.15,7,0,,,,,,,,,,
174,138.1625,0,0,,,,,,,,,,
175,138.175,0,0,,,,,,,,,,
176,138.1875,0,0,,,,,,,,,,
177,138.2,0,0,,,,,,,,,,
178,138.2125,0,0,,,,,,,,,,
179,138.225,0,0,,,,,,,,,,
180,138.2375,0,0,,,,,,,,,,
181,138.25,18,1,,,,,,,,,,
182,138.2625,0,0,,,,,,,,,,
183,138.275,0,0,,,,,,,,,,
184,138.2875,0,0,,,,,,,,,,
185,138.3,0,0,,,,,,,,,,
186,138.3125,0,0,,,,,,,,,,
187,138.325,63,8,,,,,,,,,,
188,138.3375,0,0,,,,,,,,,,
189,138.35,0,0,,,,,,,,,,
190,138.3625,0,0,,,,,,,,,,
191,138.375,0,0,,,,,,,,,,
192,138.3875,0,0,,,,,,,,,,
193,138.4,0,0,,,,,,,,,,
194,138.4125,0,0,,,,,,,,,,
195,138.425,0,0,,,,,,,,,,
196,138.4375,0,0,,,,,,,,,,
197,138.45,0,0,,,,,,,,,,
198,138.4625,0,0,,,,,,,,,,
199,138.475,0,0,,,,,,,,,,
200,138.4875,0,0,,,,,,,,,,
201,138.5,0,0,,,,,,,,,,
202,138.5125,0,0,,,,,,,,,,
203,138.525,0,0,,,,,,,,,,
204,138.5375,0,0,,,,,,,,,,
205,138.55,0,0,,,,,,,,,,
206,138.5625,0,0,,,,,,,,,,
207,138.575,0,0,,,,,,,,,,
208,138.5875,0,0,,,,,,,,,,
209,138.6,0,0,,,,,,,,,,
210,138.6125,0,0,,,,,,,,,,
211,138.625,0,0,,,,,,,,,,
212,138.6375,0,0,,,,,,,,,,
213,138.65,0,0,,,,,,,,,,
214,138.6625,0,0,,,,,,,,,,
215,138.675,0,0,,,,,,,,,,
216,138.6875,0,0,,,,,,,,,,
217,138.7,0,0,,,,,,,,,,
218,138.7125,0,0,,,,,,,,,,
219,138.725,0,0,,,,,,,,,,
220,138.7375,0,0,,,,,,,,,,
221,138.75,0,0,,,,,,,,,,
222,138.7625,0,0,,,,,,,,,,
223,138.775,0,0,,,,,,,,,,
224,138.7875,0,0,,,,,,,,,,
225,138.8,0,0,,,,,,,,,,
226,138.8125,0,0,,,,,,,,,,
227,138.825,0,0,,,,,,,,,,
228,138.8375,0,0,,,,,,,,,,
229,138.85,0,0,,,,,,,,,,
230,138.8625,0,0,,,,,,,,,,
231,138.875,0,0,,,,,,,,,,
232,138.8875,0,0,,,,,,,,,,
233,138.9,0,0,,,,,,,,,,
234,138.9125,0,0,,,,,,,,,,
235,138.925,0,0,,,,,,,,,,
236,138.9375,0,0,,,,,,,,,,
237,138.95,0,0,,,,,,,,,,
238,138.9625,0,0,,,,,,,,,,
239,138.975,0,0,,,,,,,,,,
240,138.9875,0,0,,,,,,,,,,
241,139,0,0,,,,,,,,,,
242,139.0125,0,0,,,,,,,,,,
243,139.025,0,0,,,,,,,,,,
244,139.0375,0,0,,,,,,,,,,
245,139.05,0,0,,,,,,,,,,
