99488095.24,-97.56012726, 
99489682.54,-97.35468292, 
99491269.84,-96.24092865, 
99492857.14,-104.6368103, 
99494444.44,-104.1086884, 
99496031.75,-101.3845978, 
99497619.05,-103.6174316, 
99499206.35,-107.4510803, 
99500793.65,-112.1688995, 
99502380.95,-105.7114563, 
99503968.25,-110.4411697, 
99505555.56,-106.1475601, 
99507142.86,-100.5398026, 
99508730.16,-97.91941071, 
99510317.46,-105.2389221, 
99511904.76,-107.6065521, 
99513492.06,-100.580307, 
99515079.37,-110.9595261, 
99516666.67,-101.3256989, 
99518253.97,-94.62252045, 
99519841.27,-96.19245148, 
99521428.57,-110.3676834, 
99523015.87,-107.4632797, 
99524603.17,-99.60479736, 
99526190.48,-111.5562592, 
99527777.78,-103.5846481, 
99529365.08,-102.8334579, 
99530952.38,-96.63640594, 
99532539.68,-103.7925949, 
99534126.98,-110.1131592, 
99535714.29,-110.7647018, 
99537301.59,-107.2863007, 
99538888.89,-108.5544281, 
99540476.19,-113.4025345, 
99542063.49,-106.590332, 
99543650.79,-107.1439362, 
99545238.1,-110.1346741, 
99546825.4,-110.7235718, 
99548412.7,-109.7295456, 
99550000,-108.4074783, 
99551587.3,-109.1443863, 
99553174.6,-105.0826492, 
99554761.9,-104.5659332, 
99556349.21,-108.6576843, 
99557936.51,-106.3278122, 
99559523.81,-103.3417053, 
99561111.11,-103.1606369, 
99562698.41,-105.7511597, 
99564285.71,-107.6542511, 
99565873.02,-104.4670486, 
99567460.32,-105.0887604, 
99569047.62,-100.0480194, 
99570634.92,-102.4212265, 
99572222.22,-115.5372772, 
99573809.52,-109.3557587, 
99575396.83,-113.7940826, 
99576984.13,-112.4823151, 
99578571.43,-113.5511322, 
99580158.73,-108.8509598, 
99581746.03,-112.4542236, 
99583333.33,-109.0797729, 
99584920.63,-109.7016296, 
99586507.94,-105.79142, 
99588095.24,-113.3549194, 
99589682.54,-115.1230011, 
99591269.84,-107.4827957, 
99592857.14,-112.2282791, 
99594444.44,-106.79216, 
99596031.75,-105.7798843, 
99597619.05,-112.5837708, 
99599206.35,-109.3093643, 
99600793.65,-121.4943237, 
99602380.95,-111.3957596, 
99603968.25,-108.6114273, 
99605555.56,-108.0593872, 
99607142.86,-107.4530487, 
99608730.16,-109.7485275, 
99610317.46,-106.3845596, 
99611904.76,-101.7968063, 
99613492.06,-104.9178238, 
99615079.37,-107.5588379, 
99616666.67,-106.8928604, 
99618253.97,-112.7290268, 
99619841.27,-110.8069687, 
99621428.57,-115.9042969, 
99623015.87,-103.1952057, 
99624603.17,-105.9440765, 
99626190.48,-105.8334808, 
99627777.78,-111.7526474, 
99629365.08,-110.313858, 
99630952.38,-110.0485001, 
99632539.68,-108.9339905, 
99634126.98,-113.9319, 
99635714.29,-109.4740601, 
99637301.59,-104.8154755, 
99638888.89,-102.2902908, 
99640476.19,-107.9823608, 
99642063.49,-105.1034851, 
99643650.79,-102.6170731, 
99645238.1,-104.6660385, 
99646825.4,-100.9143829, 
99648412.7,-101.563942, 
99650000,-112.1720352, 
99651587.3,-108.3845901, 
99653174.6,-113.1226273, 
99654761.9,-106.4250259, 
99656349.21,-103.7610703, 
99657936.51,-110.9322128, 
99659523.81,-109.527359, 
99661111.11,-107.1848602, 
99662698.41,-109.0178909, 
99664285.71,-104.8114777, 
99665873.02,-101.7517853, 
99667460.32,-102.9496231, 
99669047.62,-105.2954407, 
99670634.92,-101.8227158, 
99672222.22,-112.681839, 
99673809.52,-102.6004181, 
99675396.83,-100.1690521, 
99676984.13,-103.4363937, 
99678571.43,-110.9087524, 
99680158.73,-102.9611664, 
99681746.03,-101.4790497, 
99683333.33,-97.35308075, 
99684920.63,-110.2689819, 
99686507.94,-104.9996948, 
99688095.24,-108.3576202, 
99689682.54,-104.4393158, 
99691269.84,-103.5793228, 
99692857.14,-99.47971344, 
99694444.44,-100.6358109, 
99696031.75,-109.5370026, 
99697619.05,-99.76132202, 
99699206.35,-100.620285, 
99700793.65,-109.4318619, 
99702380.95,-98.58795929, 
99703968.25,-96.13711548, 
99705555.56,-99.20921326, 
99707142.86,-99.9740448, 
99708730.16,-104.7628555, 
99710317.46,-101.2815552, 
99711904.76,-98.10945892, 
99713492.06,-100.6078491, 
99715079.37,-113.7753983, 
99716666.67,-99.26988983, 
99718253.97,-101.4251633, 
99719841.27,-105.0020294, 
99721428.57,-96.68685913, 
99723015.87,-105.5494995, 
99724603.17,-102.8502197, 
99726190.48,-102.4566422, 
99727777.78,-101.1049957, 
99729365.08,-102.7454224, 
99730952.38,-120.0188522, 
99732539.68,-104.0224762, 
99734126.98,-104.652359, 
99735714.29,-99.34896088, 
99737301.59,-105.6674423, 
99738888.89,-97.98674011, 
99740476.19,-111.113533, 
99742063.49,-100.5936737, 
99743650.79,-101.6068649, 
99745238.1,-100.5293427, 
