88.000000,97.1,-73.0,,,,
88.010000,64.0,-84.5,,,,
88.020000,79.1,-82.4,,,,
88.030000,26.5,-92.8,,,,
88.040000,11.4,-92.8,,,,
88.050000,5.0,-98.3,,,,
88.060000,2.4,-90.0,,,,
88.070000,0.8,-97.2,,,,
88.730000,2.6,-89.0,,,,
88.780000,0.5,-89.5,,,,
89.420000,0.0,-93.3,,,,
89.430000,0.2,-94.4,,,,
89.440000,4.2,-91.7,,,,
89.450000,11.3,-89.0,,,,
89.460000,23.8,-87.9,,,,
89.470000,36.2,-84.5,,,,
89.480000,50.5,-85.7,,,,
89.490000,65.2,-85.7,,,,
89.500000,69.6,-85.7,,,,
89.510000,68.0,-85.1,,,,
89.520000,56.5,-85.1,,,,
89.530000,34.2,-83.5,,,,
89.540000,20.5,-87.3,,,,
89.550000,10.9,-88.4,,,,
89.560000,4.3,-93.3,,,,
89.570000,0.2,-95.5,,,,
89.580000,0.0,-89.5,,,,
90.230000,0.0,-99.4,,,,
90.240000,0.1,-95.5,,,,
90.250000,0.2,-95.5,,,,
90.260000,0.1,-91.7,,,,
90.270000,0.0,-91.7,,,,
90.320000,0.0,-92.8,,,,
90.360000,0.0,-96.1,,,,
90.370000,0.6,-91.1,,,,
90.380000,0.2,-92.8,,,,
90.390000,1.5,-93.9,,,,
90.400000,6.5,-93.9,,,,
90.410000,19.2,-94.4,,,,
90.420000,39.5,-89.0,,,,
90.430000,61.0,-84.0,,,,
90.440000,69.5,-78.0,,,,
90.450000,80.8,-73.0,,,,
90.460000,90.7,-68.1,,,,
90.470000,95.5,-67.0,,,,
90.480000,98.1,-63.1,,,,
90.490000,98.8,-66.4,,,,
90.500000,98.8,-66.4,,,,
90.510000,98.2,-67.0,,,,
90.520000,96.8,-67.5,,,,
90.530000,94.3,-67.5,,,,
90.540000,89.2,-71.9,,,,
90.550000,77.8,-75.2,,,,
90.560000,65.3,-75.8,,,,
90.570000,50.4,-79.1,,,,
90.580000,34.5,-85.1,,,,
90.590000,14.2,-88.4,,,,
90.600000,3.6,-95.0,,,,
90.610000,0.4,-93.9,,,,
90.620000,0.1,-94.4,,,,
91.220000,0.0,-92.2,,,,
91.280000,0.2,-89.5,,,,
91.550000,2.8,-92.2,,,,
91.700000,0.0,-91.7,,,,
92.000000,0.0,-88.4,,,,
92.020000,0.0,-89.5,,,,
92.070000,0.0,-86.8,,,,
92.100000,0.3,-89.0,,,,
92.160000,0.5,-87.3,,,,
92.270000,0.0,-87.9,,,,
92.290000,0.0,-90.0,,,,
92.330000,0.2,-90.0,,,,
92.340000,0.0,-87.3,,,,
92.370000,0.0,-90.0,,,,
92.380000,0.0,-88.4,,,,
92.400000,0.0,-90.6,,,,
92.410000,13.0,-85.1,,,,
92.450000,0.0,-90.0,,,,
92.460000,0.0,-92.8,,,,
